Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
6,genre,kind
7,mois,month
8,laisser,let
9,car,because
10,mettre,to put
11,eux,them
12,ville,city
13,chaque,each
14,devrait,should
15,bébé,baby
16,longtemps,long time
17,vont,will
18,pendant,while
19,revoir,meet again
22,savais,knew
23,voici,here is
25,affaire,case
26,type,type
27,leurs,their
28,donné,given
29,corps,body
30,endroit,place
31,yeux,eyes
32,façon,way
33,écoute,listen
34,premier,first
35,main,hand
36,première,first
37,pouvoir,power
38,sois,be
39,tiens,here
40,matin,morning
41,tellement,so much
42,enfant,child
43,point,point
44,suite,after
45,pardon,sorry
46,venez,come
47,devant,in front of
48,minutes,minutes
49,demandé,request
50,belle,beautiful
51,droit,law
52,aimerais,would like to
53,aujourd'hui,today
54,mari,husband
55,cause,cause
56,enfin,finally
57,espère,hope
58,attendez,Wait
59,parti,left
60,nouvelle,new
61,boulot,job
62,arrêter,Stop
63,dirait,would say
64,compte,account
65,loin,far
66,fin,end
67,croire,believe
68,chérie,sweetheart
69,filles,girls
70,jouer,to play
